google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
Lars Tranvik,http://scholar.google.com/citations?user=hPP_g6EAAAAJ&hl=en,m,full,1990,83,,,,,,,,,,,,
Laura Airoldi,http://scholar.google.com/citations?user=5E3uXgYAAAAJ&hl=en,f,,1994,,,,116,,,,,,,,,
Laura Craig,http://scholar.google.com/citations?user=FckWsP0AAAAJ&hl=en,f,,2009,,,,,,,,80,,,,,
Laura Domingo,http://scholar.google.com/citations?user=jVfbGbEAAAAJ&hl=en,f,postdoc,2008,,,,,,,,,,,,,77
Laura Hovind,http://scholar.google.com/citations?user=vW_Ov4QAAAAJ&hl=en,f,student,0,,,,761,,,,,,,,,
Laura Jane Martin,http://scholar.google.com/citations?user=B8NQxkcAAAAJ&hl=en,f,student,0,,,,,,,,,,196,,,
Laura Spence,http://scholar.google.com/citations?user=Y20CETEAAAAJ&hl=en,f,postdoc,2009,1627,,,,,,,,,,,,
Laura Timms,http://scholar.google.com/citations?user=8TftFYsAAAAJ&hl=en,f,postdoc,2010,,,168,,,,,,,,,,
Laura Warman,http://scholar.google.com/citations?user=H1QNP7rdrUEC&hl=en,f,,-999,,,,,,,,,,,,138,
Laure Pecquerie,http://scholar.google.com/citations?user=66Ry1r0AAAAJ&hl=en,f,postdoc,2007,1070,,,,,,,,,,,,
Laurel Pfeifer-Meister,http://scholar.google.com/citations?user=_ITn0nwAAAAJ&hl=en,f,postdoc,2008,,,248,,,,,93,,,,,
Lauren A. Rogers,http://scholar.google.com/citations?user=uNXJbIsAAAAJ&hl=en,f,postdoc,2010,1044,,,,,,,,,,,,
Lauren Rae,http://scholar.google.com/citations?user=z4EWatoAAAAJ&hl=en,f,,-999,,,,,,,,,,,,163,
Lauren Sallan,http://scholar.google.com/citations?user=hpx0xpYAAAAJ&hl=en,f,student,0,,125,,,,,,,,,,,
Lauren T. Toth,http://scholar.google.com/citations?user=oJ_DnZgAAAAJ&hl=en,f,student,0,,,,,,,,,,,,,95
Laurens B Sparrius,http://scholar.google.com/citations?user=x4waVp0AAAAJ&hl=en,m,,2011,766,,,,,,,,,,,,
Laurent Penet,http://scholar.google.com/citations?user=GvYgWpQAAAAJ&hl=en,m,,2004,,,,,,,,,,183,,,
Laurent Seuront,http://scholar.google.com/citations?user=modXhhsAAAAJ&hl=en,,full,2005,,,,,,,23,,,,,,
Lauri Lannisto,http://scholar.google.com/citations?user=47E22JEAAAAJ&hl=en,,postdoc,2008,1145,,,,,,,,,,,,
Laurie Marczak,http://scholar.google.com/citations?user=Ln7ll48AAAAJ&hl=en,f,assistant,2007,974,,,,,,,,,,,,
Lawrence D. Harder,http://scholar.google.com/citations?user=8PWpj6cAAAAJ&hl=en,m,full,1983,,,,,,,,,,20,,,
Lawrence Heaney,http://scholar.google.com/citations?user=Yz2cMNkAAAAJ&hl=en,m,,1979,191,,,,,,,,,,,,
Lawrie Conole,http://scholar.google.com/citations?user=lXqMuZ0AAAAJ&hl=en,m,student,0,,,,,,,,,,,,119,
Leah Gerber,http://scholar.google.com/citations?user=DDd1gSAAAAAJ&hl=en,f,associate,1998,371,,,126,,,,,,,,,
Leah R. Johnson,http://scholar.google.com/citations?user=1CkxVtEAAAAJ&hl=en,f,postdoc,2006,924,,,,,,,,,,,,
Leandro Castello,http://scholar.google.com/citations?user=VYYMnkYAAAAJ&hl=en,m,postdoc,2007,985,,,,,,,,,,,,
Leandro Duarte,http://scholar.google.com/citations?user=-Jrz6zYAAAAJ&hl=en,m,associate,2007,857,65,,,,,,,,,,,
Lechoslaw Kuczynski,http://scholar.google.com/citations?user=VnI2IzkAAAAJ&hl=en,m,assistant,1999,1030,,,383,,,,,,,,,
Lee Dyer,http://scholar.google.com/citations?user=Qamd638AAAAJ&hl=en,m,full,1994,410,,,,,,,,,,,,
Lee E. Harding,http://scholar.google.com/citations?user=swf5CQYAAAAJ&hl=en,,,-999,,,,334,,,,,,,,,
Lee Walston,http://scholar.google.com/citations?user=eALnOvYAAAAJ&hl=en,m,,-999,1394,,,,,,,,,,,,
Lee-Sim Lim,http://scholar.google.com/citations?user=G0oWctQAAAAJ&hl=en,f,student,0,,,,669,,,,,,,,,
"Legendre, Serge",http://scholar.google.com/citations?user=qzi1OWMAAAAJ&hl=en,m,,-999,,,,,,,,,,,,,21
Leif Engqvist,http://scholar.google.com/citations?user=aqqR418AAAAJ&hl=en,m,,2001,,,,,,,,,,107,,,
Leigh W Simmons,http://scholar.google.com/citations?user=Ymqqv10AAAAJ&hl=en,m,full,-999,43,,,,,4,,,,,,,
Leithen M'Gonigle,http://scholar.google.com/citations?user=FpX6TbkAAAAJ&hl=en,m,postdoc,2011,,,,,,,,,,238,,,
Len Thomas,http://scholar.google.com/citations?user=be4SyOAAAAAJ&hl=en,m,full,-999,112,,,,,,,,,,,,
Leng Guan Saw,http://scholar.google.com/citations?user=jIdqgMEAAAAJ&hl=en,,,1994,,,,309,,,,,,,,,
Lenore Fahrig,http://scholar.google.com/citations?user=Htef610AAAAJ&hl=en,f,full,1988,,,,,,,,,,,,3,
Leo Posthuma,http://scholar.google.com/citations?user=1ES41U0AAAAJ&hl=en,m,,1992,271,,,,,,,,,,,,
Leon P.M. Lamers,http://scholar.google.com/citations?user=YovtQC8AAAAJ&hl=en,m,assistant,2001,,,,,,,,,,,,,
Leonardo Congiu,http://scholar.google.com/citations?user=kvjdynEAAAAJ&hl=en,m,,1997,634,,,,,,,,,,,,
Leonardo Marotta,http://scholar.google.com/citations?user=OaMuBG0AAAAJ&hl=en,m,,-999,,,,,,,,,,,78,165,
Leonardo R. Jorge,http://scholar.google.com/citations?user=FGtcfXIAAAAJ&hl=en,m,student,0,,,,,,,,,,262,,,
Leonardo Salas,http://scholar.google.com/citations?user=U0rJUyoAAAAJ&hl=en,m,,2001,1105,,,424,,,,,,,,,
Leonardo Saravia,http://scholar.google.com/citations?user=FEQ1q5MAAAAJ&hl=en,m,postdoc,2010,,,,,,,,,,,62,,
Leonardo Vignoli,http://scholar.google.com/citations?user=4c42WNMAAAAJ&hl=en,m,,-999,1165,,,,,,,,,,,,
Leonie Seabrook,http://scholar.google.com/citations?user=R80LxsIAAAAJ&hl=en,f,postdoc,2007,,,,,,,,,,,,117,
Les Kaufman,http://scholar.google.com/citations?user=07q9mlgAAAAJ&hl=en,m,full,1980,104,,,85,,,,,,,,,
Lescureux Nicolas,http://scholar.google.com/citations?user=-F_b6lsAAAAJ&hl=en,m,postdoc,2007,1516,,,,,,,,,,,,
Lesley Morrell,http://scholar.google.com/citations?user=0U9GLsUAAAAJ&hl=en,f,,2004,,,,,,,40,,,,,,
Leticia Aviles,http://scholar.google.com/citations?user=Ajz00-YAAAAJ&hl=en,f,full,1992,462,,,,,,,,,,,,
Leticia Couto Garcia,http://scholar.google.com/citations?user=UOZvSA8AAAAJ&hl=en,f,,-999,,,274,,,,,,,,,,
Levan mumladze,http://scholar.google.com/citations?user=ikQhdz0AAAAJ&hl=en,,,-999,1548,,,,,,,,,,,,
Levente Hufnagel,http://scholar.google.com/citations?user=Q8APgPwAAAAJ&hl=en,m,,2000,1003,,,384,,,,,,,,,
Lewis Barnett,http://scholar.google.com/citations?user=WfKvBp4AAAAJ&hl=en,,student,0,,,,594,,,,,,,,,
Liam J. Revell,http://scholar.google.com/citations?user=2GWMBj8AAAAJ&hl=en,m,assistant,2009,,,,,,,,,,121,,,
Lian Pin Koh,http://scholar.google.com/citations?user=KR3AV20AAAAJ&hl=en,m,assistant,2008,,,,90,,,,,,,,,
Libby Mojica,http://scholar.google.com/citations?user=tc6-lQsAAAAJ&hl=en,f,,-999,1235,,,494,,,,,,,,,
Lilia Perfeito,http://scholar.google.com/citations?user=zbTSWjEAAAAJ&hl=en,f,,2008,1117,,,,,,,,,,,,
Lilian Ricaud,http://scholar.google.com/citations?user=1MBACgkAAAAJ&hl=en,m,,-999,871,,,,,,,,,,,,
Liliana M. Davalos,http://scholar.google.com/citations?user=XSwScHgAAAAJ&hl=en,f,assistant,2004,,,,240,,,,,,,,,
Lily Arias,http://scholar.google.com/citations?user=bj-9PS4AAAAJ&hl=en,f,student,0,1700,,,,,,,,,,,,
Lin Schwarzkopf,http://scholar.google.com/citations?user=fXdzNyIAAAAJ&hl=en,f,full,1991,446,,,,,,,,,,,,
Lisa Belyea,http://scholar.google.com/citations?user=Ve4gl54AAAAJ&hl=en,f,,-999,,,,,,,,28,,,,,
Lisa G. Sorenson,http://scholar.google.com/citations?user=LrZ_KLsAAAAJ&hl=en,f,,1999,,,,306,,,,,,,,,
Lisa I Doucette,http://scholar.google.com/citations?user=PlTuzX8AAAAJ&hl=en,f,postdoc,-999,1067,,,,,,,,,,,,
Lisa Mandle,http://scholar.google.com/citations?user=PdKLwgEAAAAJ&hl=en,f,student,0,1448,,,627,,,,,,,,,
Lisa Nagaoka,http://scholar.google.com/citations?user=PvQ8aPoAAAAJ&hl=en,f,associate,2000,,,,,,89,,,,,,,
Lisa Pokorny,http://scholar.google.com/citations?user=Lrd2-IMAAAAJ&hl=en,f,,2012,1401,,,,,,,,,,,,
Lisa Pope,http://scholar.google.com/citations?user=W-mBo5kAAAAJ&hl=en,f,,-999,,,,180,,,,,,,,,
Lisa Smallbone,http://scholar.google.com/citations?user=JNMzzWAAAAAJ&hl=en,f,student,0,,,,,,,,,,,,135,
Liz Pasztor,http://scholar.google.com/citations?user=GIl3RAUAAAAJ&hl=en,,,-999,,,,,,,,,,193,,,
Lluis Brotons,http://scholar.google.com/citations?user=klIJVD4AAAAJ&hl=en,m,,-999,,,,,,,,,,,,20,
Lluis Coll,http://scholar.google.com/citations?user=4QWR5R4AAAAJ&hl=en,m,,2003,553,,,,,,,,,,,,
Loic Pellissier,http://scholar.google.com/citations?user=CuyLnz4AAAAJ&hl=en,,student,0,,,169,,,,,,,,,,
Loren Hayes,http://scholar.google.com/citations?user=I35ih68AAAAJ&hl=en,m,assistant,-999,,,,,,84,,,,,,,
Lorena P Storero,http://scholar.google.com/citations?user=akAr3z8AAAAJ&hl=en,f,,-999,1525,,,,,,,,,,,,
Lorenzo Alvarez-Filip,http://scholar.google.com/citations?user=hcU9c0AAAAAJ&hl=en,m,postdoc,2010,1049,90,,,,,,,,,,,
Loris Pietrelli,http://scholar.google.com/citations?user=8hfcAxMAAAAJ&hl=en,,,-999,869,,,,,,,,,,,,
Lorna Teal,http://scholar.google.com/citations?user=DWEEGlIAAAAJ&hl=en,f,,2009,1261,,,,,,,,,,,,
Lothy Fernandez Casim,http://scholar.google.com/citations?user=WTu4ptgAAAAJ&hl=en,f,,-999,,,,762,,,,,,,,,
Louie Yang,http://scholar.google.com/citations?user=2TKnDG8AAAAJ&hl=en,m,assistant,2006,,,53,,,,,,,,,,
Louis Santiago,http://scholar.google.com/citations?user=qxbpxTsAAAAJ&hl=en,m,assistant,2003,,,,,15,,,,,,,,
Louise EM Vet,http://scholar.google.com/citations?user=PJhZfpsAAAAJ&hl=en,f,full,1984,62,,,,,,,,,,,,
Louise H. Emmons,http://scholar.google.com/citations?user=7wXe68sAAAAJ&hl=en,f,,1975,,,,30,,,,,,,,,
Louis-Felix Bersier,,,,-999,,,47,,,,,,,,,,
Louis-Felix Bersier,http://scholar.google.com/citations?user=oELwuy8AAAAJ&hl=en,m,,1993,,,46,,,,,,,,,,
Loukas Barton,http://scholar.google.com/citations?user=KiHw4-sAAAAJ&hl=en,m,assistant,2009,,,,,,,,,,142,,,
Lourens Poorter,http://scholar.google.com/citations?user=fj526D0AAAAJ&hl=en,m,associate,1998,201,,,,,,,,,,,,
LSU Musuem of Natural Science: Bird Collection,,,,,21,,,,,,,,,,,,
Luca Borger,http://scholar.google.com/citations?user=D5CTvNUAAAAJ&hl=en,m,postdoc,-999,731,,,,,,,,,,,,
Luca Pozzi,http://scholar.google.com/citations?user=Eb-j5bEAAAAJ&hl=en,m,student,0,,,,592,,,,,,,,,
Lucas M. Leveau,http://scholar.google.com/citations?user=YgSBGYkAAAAJ&hl=en,m,,-999,,,,515,,,,,,,,,
Lucas Paolucci,http://scholar.google.com/citations?user=zdydWUAAAAAJ&hl=en,m,student,0,,,318,,,,,,,,,,
Lucas Silva,http://scholar.google.com/citations?user=fzVTu2UAAAAJ&hl=en,m,postdoc,-999,,,,,,,,68,,,,,
Luciana L. Porfirio,http://scholar.google.com/citations?user=naoECFUAAAAJ&hl=en,f,postdoc,-999,1452,,,,,,,,,,,,
Luciana Moller,http://scholar.google.com/citations?user=oE9tIUEAAAAJ&hl=en,f,associate,2001,,,,,,,37,,,,,,
Luciano Cagnolo,http://scholar.google.com/citations?user=SWgD6vUAAAAJ&hl=en,m,,-999,,,120,,,,,,,,,,
Luciano M. Verdade,http://scholar.google.com/citations?user=lY3UHKwAAAAJ&hl=en,m,associate,1997,,,,259,,,,,,,,,
Lucy Aplin,http://scholar.google.com/citations?user=oyAKGa0AAAAJ&hl=en,f,student,0,,,,,,,117,,,,,,
Lucy Browning,http://scholar.google.com/citations?user=3he0cRsAAAAJ&hl=en,f,postdoc,2010,,,,,,,77,,,200,,,
Lucy Hurrey,http://scholar.google.com/citations?user=c6LF8LkAAAAJ&hl=en,f,student,0,,142,,,,,,,,,,,
Lucy Weinert,http://scholar.google.com/citations?user=NuhMuY0AAAAJ&hl=en,f,,-999,908,,,,,,,,,,,,
Luigi Musco,http://scholar.google.com/citations?user=p81Hk54AAAAJ&hl=en,m,student,0,,,,,,,,,,,,,
Luis Alberto Vega Isuhuaylas,http://scholar.google.com/citations?user=W9gDklIAAAAJ&hl=en,m,postdoc,-999,,,,,,,,,,,,186,
Luis Antonio Velez-Espino,http://scholar.google.com/citations?user=bGP2-K8AAAAJ&hl=en,m,,-999,,,,443,,,,,,,,,
Luis Cayuela,http://scholar.google.com/citations?user=4oFFhZQAAAAJ&hl=en,m,associate,2001,,,,300,,,,,,,,,
Luis E. Castaneda,http://scholar.google.com/citations?user=AJmwDoAAAAAJ&hl=en,m,postdoc,2008,,,,,33,,,,,,,,
Luis Eguiarte,http://scholar.google.com/citations?user=rddAc6cAAAAJ&hl=en,m,,1990,,,,,,,,,,23,,,
luis escobar,http://scholar.google.com/citations?user=okcZNYoAAAAJ&hl=en,m,,-999,,,,750,,,,,,,,,
Luis German Naranjo,http://scholar.google.com/citations?user=BW8ecogAAAAJ&hl=en,m,,1989,551,,,,,,,,,,,,
Luis M. Bautista,http://scholar.google.com/citations?user=WRkjbnkAAAAJ&hl=en,m,,-999,,,,252,,,38,,,,,,
Luis M. Carrascal,http://scholar.google.com/citations?user=sODTi2AAAAAJ&hl=en,m,,1987,,,,101,,23,,,,,,,
Luis Mauricio Bini,http://scholar.google.com/citations?user=fjh2iFAAAAAJ&hl=en,m,,-999,148,,,,,,,,,,,,
Luis O. Lucifora,http://scholar.google.com/citations?user=FC9ukk0AAAAJ&hl=en,m,,-999,683,,,,,,,,,,,,
Luis Reino,http://scholar.google.com/citations?user=aY_JPwkAAAAJ&hl=en,m,postdoc,2010,1024,,,393,,,,,,,,,
Luis Sampedro,http://scholar.google.com/citations?user=pqIeYyQAAAAJ&hl=en,m,,-999,617,,,,,,,,,,,,
Luis Sandoval,http://scholar.google.com/citations?user=ssFEgu8AAAAJ&hl=en,m,student,0,,,,,,,87,,,,,,
luis santamaria,http://scholar.google.com/citations?user=smaQnCAAAAAJ&hl=en,m,,-999,,,,,,,,,,62,,,
Luisa G. Carvalheiro,http://scholar.google.com/citations?user=jTnE2aoAAAAJ&hl=en,f,,2007,,,158,,,,,,,,,,
Luis-Miguel Chevin,http://scholar.google.com/citations?user=NBIaf5kAAAAJ&hl=en,m,,2008,,,,,,,,,,155,,,
Luiz Bento,http://scholar.google.com/citations?user=66kPw74AAAAJ&hl=en,m,student,0,1526,,,,,,,,,,,,
Luiz Rocha,http://scholar.google.com/citations?user=7GmdArwAAAAJ&hl=en,m,,2003,420,,,,,,,,,,,,
Lukasz Kajtoch,http://scholar.google.com/citations?user=ExCf3XEAAAAJ&hl=en,m,,2008,1353,,,585,,,,,,,,,
Lukasz Michalczyk,http://scholar.google.com/citations?user=YpRfZIEAAAAJ&hl=en,m,,2009,,,,,,,,,,189,,,
Luke Harmon,http://scholar.google.com/citations?user=nsA3IsgAAAAJ&hl=en,m,assistant,2005,351,,,,,,,,,,,,
Luke Hedge,http://scholar.google.com/citations?user=eUPC2E8AAAAJ&hl=en,m,,-999,1532,,,,,,,,,,,,
Luke Mahler,http://scholar.google.com/citations?user=UYjzn9QAAAAJ&hl=en,m,postdoc,2011,1137,,,,,,,,,,,,
Luke McCowan,http://scholar.google.com/citations?user=6Ej4yzMAAAAJ&hl=en,m,student,0,1733,,,,,,,,,,,,
Lyanne Brouwer,http://scholar.google.com/citations?user=emfCqiIAAAAJ&hl=en,f,postdoc,2007,797,,,,,,,,,,,,
Lynda Delph,http://scholar.google.com/citations?user=BMcwwBgAAAAJ&hl=en,f,full,1988,,,,,,,,,,30,,,
Lyndon Brooks,http://scholar.google.com/citations?user=kq3z_foAAAAJ&hl=en,m,,1999,628,,,,,,,,,,,,
Lynn B Martin,http://scholar.google.com/citations?user=5lkN3ukAAAAJ&hl=en,m,associate,2004,,,,,,37,,,,,,,
Lynn B Martin,,,,,,,,,,38,,,,,,,
M Alex Smith,http://scholar.google.com/citations?user=i5jERHcAAAAJ&hl=en,m,assistant,2004,425,,,,,,,,,,,,
M Corrie Schoeman,http://scholar.google.com/citations?user=dShW4N4AAAAJ&hl=en,m,,-999,,92,143,,,,63,,,179,,,
M. Jahi Chappell,http://scholar.google.com/citations?user=-N08mPcAAAAJ&hl=en,m,assistant,2009,,,,313,,,,,,,,,
M. Luke McCormack,http://scholar.google.com/citations?user=Wxm3q-gAAAAJ&hl=en,m,student,0,1053,,,,,,,,,,,,
M. Nils Peterson,http://scholar.google.com/citations?user=4CE6cToAAAAJ&hl=en,m,associate,2007,,,,281,,,,,,,,,
M. Ramiro Pastorinho,http://scholar.google.com/citations?user=6e7vDowAAAAJ&hl=en,m,postdoc,2008,1098,,,,,,,,,,,,
MA Buzas,http://scholar.google.com/citations?user=3hSNDKUAAAAJ&hl=en,m,,1963,221,,,,,,,,,,,,
Maarten Kappelle,http://scholar.google.com/citations?user=sWr0DyMAAAAJ&hl=en,m,,1995,463,,,,,,,,,,,,
Madjusudan Katti,http://scholar.google.com/citations?user=bQSVpFQAAAAJ&hl=en,m,associate,1997,,,,278,,,,,,129,,,
Maggi Kelly,http://scholar.google.com/citations?user=wVMGB1YAAAAJ&hl=en,f,full,1996,,,,,,,,,,,,31,
Maggie J. Watson,http://scholar.google.com/citations?user=WshukjYAAAAJ&hl=en,f,student,0,,,,,,182,,,,,,,
Mahy,http://scholar.google.com/citations?user=mgifT7IAAAAJ&hl=en,m,,-999,667,,,253,,,,,,,,,
Maia Akhalkatsi,http://scholar.google.com/citations?user=SLNYbL0AAAAJ&hl=en,f,,-999,1179,,,,,,,,,,,,
Maia Berman,http://scholar.google.com/citations?user=qPdhqgYAAAAJ&hl=en,f,,-999,,,283,,,,,,,,,,
Maiken Winter,http://scholar.google.com/citations?user=JN_qnkQAAAAJ&hl=en,f,,-999,610,,,,,,,,,,,,
Maiorano Patrizia,http://scholar.google.com/citations?user=aVmTmnkAAAAJ&hl=en,,,1996,,,,,,,,,,,,,62
maka murvanidze,,,,-999,,,,,,,,,,,,,
maka murvanidze,,,,-999,,,,,,,,,,,,,
"Malchow, Horst",http://scholar.google.com/citations?user=BkCCxzoAAAAJ&hl=en,m,full,1982,,,,,,,,,,,17,,
Malcolm L. McCallum,http://scholar.google.com/citations?user=lOHMjvYAAAAJ&hl=en,m,associate,2003,,,,364,,,,,,,,,
Malgorzata Lagisz,http://scholar.google.com/citations?user=x-T62VwAAAAJ&hl=en,f,,-999,1287,,,,,,,,,,,,
Malu Jorge,http://scholar.google.com/citations?user=Z3Vw5loAAAAJ&hl=en,f,postdoc,2007,1318,,,555,,,,,,,,,
Manuel B. Morales,http://scholar.google.com/citations?user=bml3gUgAAAAJ&hl=en,m,associate,-999,613,,,226,,,,,,,,,
Manuel Gloor,http://scholar.google.com/citations?user=YyxyXT0AAAAJ&hl=en,m,full,-999,154,,,,,,,,,,,,
Manuel Graca,http://scholar.google.com/citations?user=6L6zYowAAAAJ&hl=en,m,full,1990,280,,,,,,,,,,,,
Manuel Hernandez Fernandez,http://scholar.google.com/citations?user=BZhnM0rcNJ0C&hl=en,m,,2001,,54,,,,,,,,,,,41
Manuel J. Macia,http://scholar.google.com/citations?user=CTBusVMAAAAJ&hl=en,m,,-999,,,81,,,,,,,,,,
Manuel K Schneider,http://scholar.google.com/citations?user=a0CE8xoAAAAJ&hl=en,m,,-999,1014,,,,,,,,,,,,
Manuela D'Amen,http://scholar.google.com/citations?user=tDzEzrkAAAAJ&hl=en,f,,2010,1290,,,536,,,,,,,,,
Manuela Gonzalez-Suarez,http://scholar.google.com/citations?user=iiziSo0AAAAJ&hl=en,f,,2008,1204,,,483,,,,,,,,,
Mao Jian-feng,http://scholar.google.com/citations?user=87FWI84AAAAJ&hl=en,m,,-999,1485,,,,,,,,,,,,
Maosheng Zhao,http://scholar.google.com/citations?user=59Ylg1oAAAAJ&hl=en,m,,2001,250,,,,,,,,,,,,
Marc Bierkens,http://scholar.google.com/citations?user=tLb7kHEAAAAJ&hl=en,m,full,1994,336,,,,,,,,,,,,
Marc Dufrene,http://scholar.google.com/citations?user=_bVeyFQAAAAJ&hl=en,m,,-999,,,,68,,,,,,,,,
Marc Macias-Fauria,http://scholar.google.com/citations?user=e3bysMEAAAAJ&hl=en,m,postdoc,-999,801,,,,,,,,,,,,
Marc Rius,http://scholar.google.com/citations?user=gBh1wFwAAAAJ&hl=en,m,postdoc,2008,,,113,,,,,,,,,,
Marc TJ Johnson,http://scholar.google.com/citations?user=fNPkvLwAAAAJ&hl=en,m,assistant,2007,509,,,,,,,,,,,,
Marcel Dicke,http://scholar.google.com/citations?user=VpMlC1YAAAAJ&hl=en,m,full,1988,15,,,,,,,,,,,,
Marcel Dorken,http://scholar.google.com/citations?user=xAqA9cUAAAAJ&hl=en,m,associate,2003,,,,,,,,,,117,,,
Marcel Holyoak,http://scholar.google.com/citations?user=HmZZwgkAAAAJ&hl=en,m,full,1992,192,,17,61,,,,,2,,,,
Marcel Uhrin,http://scholar.google.com/citations?user=h2fG194AAAAJ&hl=en,m,,-999,887,,,,,,,,,,,,
Marcelino Fuentes,http://scholar.google.com/citations?user=9nJ5ln8AAAAJ&hl=en,m,,-999,,,,241,,,,,,,,,
Marcelo A Aizen,http://scholar.google.com/citations?user=pZAXGc4AAAAJ&hl=en,m,,-999,,,,53,,,,,,25,,,
Marcelo Ardon,http://scholar.google.com/citations?user=tAE2XGcAAAAJ&hl=en,m,assistant,-999,,,,,,,,69,,,,,
Marcelo E. Dias de Oliveira,http://scholar.google.com/citations?user=ANm3Ef0AAAAJ&hl=en,m,student,0,1026,,,,,,,,,,,,
Marcelo Garcia-Guerrero,http://scholar.google.com/citations?user=-P2oHPoAAAAJ&hl=en,m,,-999,1126,,,,,,,,,,,,
Marcelo Tabarelli,http://scholar.google.com/citations?user=Q2l5wHAAAAAJ&hl=en,m,,-999,,,,69,,,,,,,,,
Marcin Koprowski,http://scholar.google.com/citations?user=d2y3h54AAAAJ&hl=en,,,-999,1217,,,,,,,,,,,,
Marcin Zalewski,http://scholar.google.com/citations?user=6fw0w1oAAAAJ&hl=en,m,,-999,1163,105,,,,,,,,,,,
Marcio Borges-Martins,http://scholar.google.com/citations?user=CyPyXk8AAAAJ&hl=en,m,,-999,,,,459,,,,,,,,,
Marcio Martins,http://scholar.google.com/citations?user=FNAlHwoAAAAJ&hl=en,m,full,1994,401,,,142,,,,,,,,,
Marcio Silva Araujo,http://scholar.google.com/citations?user=JeUcYjcAAAAJ&hl=en,m,assistant,2007,,,,,,,,,,128,,,
Marco A Lardies,http://scholar.google.com/citations?user=3ZKkR_gAAAAJ&hl=en,m,,2004,,,,,,,,,,119,,,
Marco A.R. Mello,http://scholar.google.com/citations?user=Ve_w6cAAAAAJ&hl=en,m,,2006,,,,,,,,,,,,,
Marco Apollonio,http://scholar.google.com/citations?user=NdnwD00AAAAJ&hl=en,m,full,-999,,,,,,43,,,,,,,
Marco Batalha,http://scholar.google.com/citations?user=mYawNHAAAAAJ&hl=en,m,associate,-999,566,,,,,,,,,,,,
Marco Cucco,http://scholar.google.com/citations?user=MRDz0jUAAAAJ&hl=en,m,,1991,673,,,,,,,,,,,,
Marco Pombi,http://scholar.google.com/citations?user=1rogSVUAAAAJ&hl=en,m,,-999,876,,,,,,,,,,,,
Marco Schmidt,http://scholar.google.com/citations?user=7RUU0esAAAAJ&hl=en,m,,2006,,95,,,,,,,,,,,
Marco Thines,http://scholar.google.com/citations?user=8jgvb8IAAAAJ&hl=en,m,,-999,517,,,,,,,,,,,,
Marcos Rodrigues,http://scholar.google.com/citations?user=JpXl-gcAAAAJ&hl=en,m,,-999,745,,,294,,,44,,,,,,
Marcus J. Hamilton,http://scholar.google.com/citations?user=40_eerUAAAAJ&hl=en,m,postdoc,2008,,57,,,,,,,,,,,
Marcus Vincius Vieira,http://scholar.google.com/citations?user=1YKxxnoAAAAJ&hl=en,m,,1990,,,,,,,,,25,,36,61,
Marek Kwiatkowski,http://scholar.google.com/citations?user=aFQ_RlUAAAAJ&hl=en,m,postdoc,2010,,,,,,,,,,,69,,
Maren Wellenreuther,http://scholar.google.com/citations?user=B6vt1LEAAAAJ&hl=en,f,postdoc,2007,1101,,,,,,,,,,,,
Margaret Kosmala,http://scholar.google.com/citations?user=6dBv_6gAAAAJ&hl=en,f,student,0,,,205,542,,,,,,,,,
Margaret M Mayfield,http://scholar.google.com/citations?user=CdQQDgQAAAAJ&hl=en,f,,2005,511,,,,,,,,,,,,
Margaret R Metz,http://scholar.google.com/citations?user=UYfSI9EAAAAJ&hl=en,f,postdoc,2007,,,217,,,,,,,,,,
Margaret Rubega,http://scholar.google.com/citations?user=-OIEJlkAAAAJ&hl=en,f,associate,1993,811,,,,,,,,,,,,
Margaux Rat,http://scholar.google.com/citations?user=vxvsioIAAAAJ&hl=en,f,student,0,,,,,,197,,,,,,,
Mari Moora,http://scholar.google.com/citations?user=xYWIs9IAAAAJ&hl=en,f,,1998,368,,,,,,,,,,,,
Mari Pesek,http://scholar.google.com/citations?user=kSdN4jAAAAAJ&hl=en,f,student,0,,,324,,,,,,,,,,
Maria A. Faust,http://scholar.google.com/citations?user=VWu61XsAAAAJ&hl=en,f,,1970,413,,,,,,,,,,,,
Maria A. Siegesmund,http://scholar.google.com/citations?user=cviZUYgAAAAJ&hl=en,f,,2011,1432,,,,,,,,,,,,
Maria Chatzaki,http://scholar.google.com/citations?user=i_kgZXAAAAAJ&hl=en,f,,2003,1060,,,,,,,,,,,,
Maria Cristina Gambi,http://scholar.google.com/citations?user=QWHCCXsAAAAJ&hl=en,f,,-999,315,,,,,,,,,,,,
Maria Cristina Lorenzi,http://scholar.google.com/citations?user=mLi941wAAAAJ&hl=en,f,,-999,,,,,,68,,,,,,,
Maria Dornelas,http://scholar.google.com/citations?user=Q8hjueMAAAAJ&hl=en,f,,2006,,53,83,,,,,,,,,,
Maria Fernanda Sanchez Goni,http://scholar.google.com/citations?user=PuGH0kkAAAAJ&hl=en,f,,-999,,,,,,,,,,,,,17
Maria Isabel Pozo Romero,http://scholar.google.com/citations?user=xEu4k40AAAAJ&hl=en,f,,-999,,,,,,,,,,205,,,
